"Time"	"1_Filter"	"SEM"
0	12.466654	0.37809413
0.0001	13.419443	0.37623154
0.0002	19.89798	0.37538714
0.0003	-5.4592839	0.37803375
0.0004	20.43034	0.38586673
0.0005	-77.364485	0.42064618
0.0006	-220.87754	0.20687043
0.0007	-82.713764	0.42186237
0.0008	51.77623	0.45326804
0.0009	25.203718	0.42704378
0.001	30.398992	0.39547754
0.0011	18.872339	0.39009786
0.0012	8.5062052	0.39088312
0.0013	16.726338	0.38725326
0.0014	5.6887718	0.38658868
0.0015	14.208226	0.38041666
0.0016	12.525844	0.38514603
0.0017	11.909541	0.3871284
0.0018	16.606491	0.38514071
0.0019	9.9712332	0.38140134
0.002	14.652304	0.37789514
0.0021	9.7799286	0.38025753
0.0022	7.7129494	0.38023776
0.0023	8.8818929	0.38057914
0.0024	2.8776539	0.37895944
0.0025	6.3916119	0.37959908
0.0026	2.128412	0.38060575
0.0027	0.39509451	0.38513749
0.0028	0.5058868	0.38554425
0.0029	-3.9243501	0.39083197
